nombre,poblacion
Sanlúcar la Mayor,13943
Beasain,13938
Santa María de Guía de Gran Canaria,13897
Alginet,13827
Sa Pobla,13764
Cambados,13721
Llanera,13695
Torrijos,13684
Verín,13647
Sóller,13634
Torredonjimeno,13632
La Llagosta,13587
Tomiño,13566
Cunit,13533
Canals,13516
Llanes,13473
San Agustín del Guadalix,13466
Cuarte de Huerva,13450
O Barco de Valdeorras,13431
Gines,13428
Badia del Vallès,13415
Aguilar de la Frontera,13382
Santa Coloma de Farners,13363
Sarria,13338
Moralzarzal,13334
Campo de Criptana,13312
Nules,13236
Godella,13131
Jaca,13129
Álora,13112
Santa Cruz de Bezana,13088
Betanzos,13053
Abarán,13022
Antigua,12972
Guillena,12903
Laviana,12882
Fene,12868
Alovera,12860
Sant Sadurní d'Anoia,12841
Santa Margalida,12797
Valdemorillo,12772
Valverde del Camino,12750
Gibraleón,12737
Villafranca de los Barros,12673
Ordes,12625
Vejer de la Frontera,12622
Vilanova del Camí,12596
Berja,12563
Béjar,12559
Castellbisbal,12539
Abrera,12538
Argentona,12536
Teror,12522
Salobreña,12513
Brenes,12501
Estepa,12497
Albatera,12474
Mont-roig del Camp,12460
Ocaña,12437
El Casar,12415
Velilla de San Antonio,12380
Santanyí,12373
Coria,12366
Ciudad Rodrigo,12261
Arrigorriaga,12225
Monòver,12212
La Seu d'Urgell,12206
Montgat,12200
Alcalá del Río,12186
Capdepera,12158
Villamartín,12134
Baiona,12129
Cangas del Narcea,12124
l'Alcúdia,12107
Albox,12083
Socuéllamos,12079
Huétor Vega,12035
Bolaños de Calatrava,12019
Ceutí,12007
Benifaió,11989
Valle de Trápaga-Trapagaran,11975
Bueu,11950
La Puebla del Río,11920
Olivenza,11912
Formentera,11904
Torroella de Montgrí,11836
Son Servera,11817
Medina Sidonia,11773
Palos de la Frontera,11742
Etxebarri,11691
Fuensalida,11655
Yuncos,11646
Jódar,11634
Azkoitia,11627
Pallejà,11622
Picanya,11606
Deltebre,11578
Elgoibar,11570
Haro,11557
Bullas,11553
Cocentaina,11520
Oñati,11497
Peligros,11492
Beniel,11465
Utiel,11458
Andratx,11433
Vegas del Genil,11432
A Laracha,11406
Valdés,11394
Calonge i Sant Antoni,11331
Mancha Real,11328
Aranguren,11306
Benissa,11288
Tegueste,11287
Campos,11283
Santiago del Teide,11281
Teulada,11278
Benaguasil,11256
La Bisbal d'Empordà,11159
Barbadás,11158
Quintanar de la Orden,11148
Sant Andreu de Llavaneres,11133
Castelló d'Empúries,11100
Sonseca,11082
Castell-Platja d'Aro,11030
Laredo,11023
Santoña,11019
Rianxo,11013
Sant Joan de Vilatorrada,10998
Meliana,10970
La Puebla de Cazalla,10932
Bollullos de la Mitación,10931
Antsoain,10836
Lardero,10813
Ripoll,10803
La Palma del Condado,10801
Los Corrales de Buelna,10767
Brunete,10760
La Roca del Vallès,10754
Astorga,10741
Cantillana,10736
Lena,10701
Villacarrillo,10673
Cabanillas del Campo,10657
Berriozar,10651
Tafalla,10621
Peñarroya-Pueblonuevo,10561
Tarazona,10558
Bargas,10535
Alberic,10519
O Grove,10518
Ordizia,10503
Alcaudete,10483
Castalla,10461
Premià de Dalt,10441
Griñón,10435
l'Alcora,10417
Aller,10413
Cassà de la Selva,10410
Huétor Tájar,10399
Sedaví,10391
Pulpí,10358
Daganzo de Arriba,10337
Madridejos,10334
Oiartzun,10309
Carreño,10301
La Bañeza,10290
Fortuna,10289
Gozón,10282
Amurrio,10264
Atarrabia,10245
L'Escala,10244
Vilanova de Arousa,10239
Santa Margarida de Montbui,10225
Alcàsser,10196
Gelves,10193
Pego,10133
Calasparra,10133
Zumaia,10111
As Pontes de García Rodríguez,10068
Íllora,10065
Caspe,10026
A Guarda,10025
Llinars del Vallès,10018
Foz,10016
Caudete,10005
Mengíbar,9997
Salvaterra de Miño,9990
Consuegra,9970
Alella,9904
Rute,9898
Pinos Puente,9894
Vilamarxant,9891
El Álamo,9862
Ribadeo,9860
Sax,9859
Mora,9819
Massanassa,9782
Zumarraga,9781
Caldas de Reis,9775
